1,1,seller1,Seller,47.50,Closed,buyer1,Buyer
2,2,seller2,Seller,110.00,Closed,buyer2,Buyer
3,3,seller3,Seller,92.50,Closed,buyer3,Buyer
4,4,seller4,Seller,100.00,Closed,buyer4,Buyer
5,5,seller5,Seller,67.50,Closed,buyer5,Buyer
6,6,seller6,Seller,95.00,Closed,buyer6,Buyer
7,7,seller7,Seller,82.50,Closed,buyer7,Buyer
8,8,seller8,Seller,130.00,Closed,buyer8,Buyer
9,9,seller9,Seller,162.50,Closed,buyer9,Buyer
10,10,seller10,Seller,125.00,Closed,buyer10,Buyer
11,11,seller11,Seller,132.50,Closed,buyer11,Buyer
12,12,seller12,Seller,130.00,Closed,buyer12,Buyer
13,13,seller13,Seller,137.50,Closed,buyer13,Buyer
14,14,seller14,Seller,135.00,Closed,buyer14,Buyer
15,15,seller15,Seller,182.50,Closed,buyer15,Buyer
16,16,seller16,Seller,150.00,Closed,buyer16,Buyer
17,17,seller17,Seller,167.50,Closed,buyer17,Buyer
18,18,seller18,Seller,205.00,Closed,buyer18,Buyer
19,19,seller19,Seller,172.50,Closed,buyer19,Buyer
20,20,seller20,Seller,180.00,Closed,buyer20,Buyer
21,21,seller21,Seller,197.50,Closed,buyer21,Buyer
22,22,seller22,Seller,215.00,Closed,buyer22,Buyer
23,23,seller23,Seller,267.50,Closed,buyer23,Buyer
24,24,seller24,Seller,220.00,Closed,buyer24,Buyer
25,25,seller25,Seller,257.50,Closed,buyer25,Buyer
26,26,seller1,Seller,290.00,Closed,buyer26,Buyer
27,27,seller2,Seller,297.50,Closed,buyer27,Buyer
28,28,seller3,Seller,250.00,Closed,buyer28,Buyer
29,29,seller4,Seller,267.50,Closed,buyer29,Buyer
30,30,seller5,Seller,295.00,Closed,buyer30,Buyer
31,31,seller6,Seller,282.50,Closed,buyer31,Buyer
32,32,seller7,Seller,280.00,Closed,buyer32,Buyer
33,33,seller8,Seller,342.50,Closed,buyer33,Buyer
34,34,seller9,Seller,295.00,Closed,buyer34,Buyer
35,35,seller10,Seller,302.50,Closed,buyer35,Buyer
36,36,seller11,Seller,340.00,Closed,buyer36,Buyer
37,37,seller12,Seller,372.50,Closed,buyer37,Buyer
38,38,seller13,Seller,315.00,Closed,buyer38,Buyer
39,39,seller14,Seller,342.50,Closed,buyer39,Buyer
40,40,seller15,Seller,370.00,Closed,buyer40,Buyer
41,41,seller16,Seller,357.50,Active,,Buyer
42,42,seller17,Seller,355.00,Active,,Buyer
43,43,seller18,Seller,372.50,Active,,Buyer
44,44,seller19,Seller,425.00,Active,,Buyer
45,45,seller20,Seller,367.50,Active,,Buyer
46,46,seller21,Seller,440.00,Active,,Buyer
47,47,seller22,Seller,382.50,Active,,Buyer
48,48,seller23,Seller,430.00,Active,,Buyer
49,49,seller24,Seller,397.50,Active,,Buyer
50,50,seller25,Seller,415.00,Active,,Buyer
51,51,seller1,Seller,477.50,Active,,Buyer
52,52,seller2,Seller,420.00,Active,,Buyer
53,53,seller3,Seller,467.50,Active,,Buyer
54,54,seller4,Seller,455.00,Active,,Buyer
55,55,seller5,Seller,462.50,Active,,Buyer
56,56,seller6,Seller,490.00,Active,,Buyer
57,57,seller7,Seller,522.50,Active,,Buyer
58,58,seller8,Seller,505.00,Active,,Buyer
59,59,seller9,Seller,492.50,Active,,Buyer
60,60,seller10,Seller,500.00,Active,,Buyer
61,61,seller11,Seller,527.50,Active,,Buyer
62,62,seller12,Seller,505.00,Active,,Buyer
63,63,seller13,Seller,567.50,Active,,Buyer
64,64,seller14,Seller,575.00,Active,,Buyer
65,65,seller15,Seller,537.50,Active,,Buyer
66,66,seller16,Seller,565.00,Active,,Buyer
67,67,seller17,Seller,552.50,Active,,Buyer
68,68,seller18,Seller,540.00,Active,,Buyer
69,69,seller19,Seller,612.50,Active,,Buyer
70,70,seller20,Seller,555.00,Active,,Buyer
71,71,seller21,Seller,627.50,Active,,Buyer
72,72,seller22,Seller,590.00,Active,,Buyer
73,73,seller23,Seller,617.50,Active,,Buyer
74,74,seller24,Seller,605.00,Active,,Buyer
75,75,seller25,Seller,612.50,Active,,Buyer
76,76,seller1,Seller,610.00,Active,,Buyer
77,77,seller2,Seller,672.50,Active,,Buyer
78,78,seller3,Seller,655.00,Active,,Buyer
79,79,seller4,Seller,687.50,Active,,Buyer
80,80,seller5,Seller,650.00,Active,,Buyer
81,81,seller6,Seller,647.50,Active,,Buyer
82,82,seller7,Seller,665.00,Active,,Buyer
83,83,seller8,Seller,652.50,Active,,Buyer
84,84,seller9,Seller,660.00,Active,,Buyer
85,85,seller10,Seller,677.50,Active,,Buyer
86,86,seller11,Seller,715.00,Active,,Buyer
87,87,seller12,Seller,722.50,Active,,Buyer
88,88,seller13,Seller,700.00,Active,,Buyer
89,89,seller14,Seller,697.50,Active,,Buyer
90,90,seller15,Seller,715.00,Active,,Buyer
91,91,seller16,Seller,712.50,Active,,Buyer
92,92,seller17,Seller,760.00,Active,,Buyer
93,93,seller18,Seller,747.50,Active,,Buyer
94,94,seller19,Seller,745.00,Active,,Buyer
95,95,seller20,Seller,782.50,Active,,Buyer
96,96,seller21,Seller,815.00,Active,,Buyer
97,97,seller22,Seller,757.50,Active,,Buyer
98,98,seller23,Seller,805.00,Active,,Buyer
99,99,seller24,Seller,772.50,Active,,Buyer
100,100,seller25,Seller,790.00,Active,,Buyer
