1,Sample Item 1,Books,27.50,,Like New,Description for sample item 1,seller1,Seller
2,Sample Item 2,Clothing,35.00,,Used,Description for sample item 2,seller2,Seller
3,Sample Item 3,Home,42.50,,Refurbished,Description for sample item 3,seller3,Seller
4,Sample Item 4,Toys,50.00,,New,Description for sample item 4,seller4,Seller
5,Sample Item 5,Sports,57.50,,Like New,Description for sample item 5,seller5,Seller
6,Sample Item 6,Electronics,65.00,,Used,Description for sample item 6,seller6,Seller
7,Sample Item 7,Books,72.50,,Refurbished,Description for sample item 7,seller7,Seller
8,Sample Item 8,Clothing,80.00,,New,Description for sample item 8,seller8,Seller
9,Sample Item 9,Home,87.50,,Like New,Description for sample item 9,seller9,Seller
10,Sample Item 10,Toys,95.00,,Used,Description for sample item 10,seller10,Seller
11,Sample Item 11,Sports,102.50,,Refurbished,Description for sample item 11,seller11,Seller
12,Sample Item 12,Electronics,110.00,,New,Description for sample item 12,seller12,Seller
13,Sample Item 13,Books,117.50,,Like New,Description for sample item 13,seller13,Seller
14,Sample Item 14,Clothing,125.00,,Used,Description for sample item 14,seller14,Seller
15,Sample Item 15,Home,132.50,,Refurbished,Description for sample item 15,seller15,Seller
16,Sample Item 16,Toys,140.00,,New,Description for sample item 16,seller16,Seller
17,Sample Item 17,Sports,147.50,,Like New,Description for sample item 17,seller17,Seller
18,Sample Item 18,Electronics,155.00,,Used,Description for sample item 18,seller18,Seller
19,Sample Item 19,Books,162.50,,Refurbished,Description for sample item 19,seller19,Seller
20,Sample Item 20,Clothing,170.00,,New,Description for sample item 20,seller20,Seller
21,Sample Item 21,Home,177.50,,Like New,Description for sample item 21,seller21,Seller
22,Sample Item 22,Toys,185.00,,Used,Description for sample item 22,seller22,Seller
23,Sample Item 23,Sports,192.50,,Refurbished,Description for sample item 23,seller23,Seller
24,Sample Item 24,Electronics,200.00,,New,Description for sample item 24,seller24,Seller
25,Sample Item 25,Books,207.50,,Like New,Description for sample item 25,seller25,Seller
26,Sample Item 26,Clothing,215.00,,Used,Description for sample item 26,seller1,Seller
27,Sample Item 27,Home,222.50,,Refurbished,Description for sample item 27,seller2,Seller
28,Sample Item 28,Toys,230.00,,New,Description for sample item 28,seller3,Seller
29,Sample Item 29,Sports,237.50,,Like New,Description for sample item 29,seller4,Seller
30,Sample Item 30,Electronics,245.00,,Used,Description for sample item 30,seller5,Seller
31,Sample Item 31,Books,252.50,,Refurbished,Description for sample item 31,seller6,Seller
32,Sample Item 32,Clothing,260.00,,New,Description for sample item 32,seller7,Seller
33,Sample Item 33,Home,267.50,,Like New,Description for sample item 33,seller8,Seller
34,Sample Item 34,Toys,275.00,,Used,Description for sample item 34,seller9,Seller
35,Sample Item 35,Sports,282.50,,Refurbished,Description for sample item 35,seller10,Seller
36,Sample Item 36,Electronics,290.00,,New,Description for sample item 36,seller11,Seller
37,Sample Item 37,Books,297.50,,Like New,Description for sample item 37,seller12,Seller
38,Sample Item 38,Clothing,305.00,,Used,Description for sample item 38,seller13,Seller
