1,1,buyer1,Buyer,77.50,2026-05-01 09:13:00
2,2,buyer2,Buyer,65.00,2026-05-01 09:26:00
3,3,buyer3,Buyer,52.50,2026-05-01 09:39:00
4,4,buyer4,Buyer,100.00,2026-05-01 09:52:00
5,5,buyer5,Buyer,77.50,2026-05-01 10:05:00
6,6,buyer6,Buyer,85.00,2026-05-01 10:18:00
7,7,buyer7,Buyer,82.50,2026-05-01 10:31:00
8,8,buyer8,Buyer,155.00,2026-05-01 10:44:00
9,9,buyer9,Buyer,107.50,2026-05-01 10:57:00
10,10,buyer10,Buyer,170.00,2026-05-01 11:10:00
11,11,buyer11,Buyer,152.50,2026-05-01 11:23:00
12,12,buyer12,Buyer,185.00,2026-05-01 11:36:00
13,13,buyer13,Buyer,147.50,2026-05-01 11:49:00
14,14,buyer14,Buyer,135.00,2026-05-01 12:02:00
15,15,buyer15,Buyer,207.50,2026-05-01 12:15:00
16,16,buyer16,Buyer,190.00,2026-05-01 12:28:00
17,17,buyer17,Buyer,167.50,2026-05-01 12:41:00
18,18,buyer18,Buyer,205.00,2026-05-01 12:54:00
19,19,buyer19,Buyer,182.50,2026-05-01 13:07:00
20,20,buyer20,Buyer,180.00,2026-05-01 13:20:00
21,21,buyer21,Buyer,227.50,2026-05-01 13:33:00
22,22,buyer22,Buyer,235.00,2026-05-01 13:46:00
23,23,buyer23,Buyer,212.50,2026-05-01 13:59:00
24,24,buyer24,Buyer,210.00,2026-05-01 14:12:00
25,25,buyer25,Buyer,257.50,2026-05-01 14:25:00
26,26,buyer26,Buyer,225.00,2026-05-01 14:38:00
27,27,buyer27,Buyer,252.50,2026-05-01 14:51:00
28,28,buyer28,Buyer,260.00,2026-05-01 15:04:00
29,29,buyer29,Buyer,312.50,2026-05-01 15:17:00
30,30,buyer30,Buyer,275.00,2026-05-01 15:30:00
31,31,buyer31,Buyer,282.50,2026-05-01 15:43:00
32,32,buyer32,Buyer,310.00,2026-05-01 15:56:00
33,33,buyer33,Buyer,287.50,2026-05-01 16:09:00
34,34,buyer34,Buyer,325.00,2026-05-01 16:22:00
35,35,buyer35,Buyer,312.50,2026-05-01 16:35:00
36,36,buyer36,Buyer,310.00,2026-05-01 16:48:00
37,37,buyer37,Buyer,307.50,2026-05-01 17:01:00
38,38,buyer38,Buyer,335.00,2026-05-01 17:14:00
39,39,buyer39,Buyer,342.50,2026-05-01 17:27:00
40,40,buyer40,Buyer,330.00,2026-05-01 17:40:00
41,41,buyer41,Buyer,357.50,2026-05-01 17:53:00
42,42,buyer42,Buyer,385.00,2026-05-01 18:06:00
43,43,buyer43,Buyer,352.50,2026-05-01 18:19:00
44,44,buyer44,Buyer,360.00,2026-05-01 18:32:00
45,45,buyer45,Buyer,432.50,2026-05-01 18:45:00
46,46,buyer46,Buyer,395.00,2026-05-01 18:58:00
47,47,buyer47,Buyer,382.50,2026-05-01 19:11:00
48,48,buyer48,Buyer,410.00,2026-05-01 19:24:00
49,49,buyer49,Buyer,437.50,2026-05-01 19:37:00
50,50,buyer50,Buyer,470.00,2026-05-01 19:50:00
51,51,buyer51,Buyer,422.50,2026-05-01 20:03:00
52,52,buyer52,Buyer,460.00,2026-05-01 20:16:00
