1,1,buyer1,Buyer,47.50,Completed
2,2,buyer2,Buyer,110.00,Failed
3,3,buyer3,Buyer,92.50,Pending
4,4,buyer4,Buyer,100.00,Completed
5,5,buyer5,Buyer,67.50,Failed
6,6,buyer6,Buyer,95.00,Pending
7,7,buyer7,Buyer,82.50,Completed
8,8,buyer8,Buyer,130.00,Failed
9,9,buyer9,Buyer,162.50,Pending
10,10,buyer10,Buyer,125.00,Completed
11,11,buyer11,Buyer,132.50,Failed
12,12,buyer12,Buyer,130.00,Pending
13,13,buyer13,Buyer,137.50,Completed
14,14,buyer14,Buyer,135.00,Failed
15,15,buyer15,Buyer,182.50,Pending
16,16,buyer16,Buyer,150.00,Completed
17,17,buyer17,Buyer,167.50,Failed
18,18,buyer18,Buyer,205.00,Pending
19,19,buyer19,Buyer,172.50,Completed
20,20,buyer20,Buyer,180.00,Failed
21,21,buyer21,Buyer,197.50,Pending
22,22,buyer22,Buyer,215.00,Completed
23,23,buyer23,Buyer,267.50,Failed
24,24,buyer24,Buyer,220.00,Pending
25,25,buyer25,Buyer,257.50,Completed
26,26,buyer26,Buyer,290.00,Failed
27,27,buyer27,Buyer,297.50,Pending
28,28,buyer28,Buyer,250.00,Completed
29,29,buyer29,Buyer,267.50,Failed
30,30,buyer30,Buyer,295.00,Pending
31,31,buyer31,Buyer,282.50,Completed
32,32,buyer32,Buyer,280.00,Failed
33,33,buyer33,Buyer,342.50,Pending
34,34,buyer34,Buyer,295.00,Completed
35,35,buyer35,Buyer,302.50,Failed
36,36,buyer36,Buyer,340.00,Pending
37,37,buyer37,Buyer,372.50,Completed
38,38,buyer38,Buyer,315.00,Failed
39,39,buyer39,Buyer,342.50,Pending
40,40,buyer40,Buyer,370.00,Completed
